lat,lon,tipo,nome
-23.5449999,-46.6336217,Caixa Econômica Federal,bank
-23.5483583,-46.6325764,Espaço da Cidadania “André Franco Montoro”,public_council
-23.5501460,-46.6376668,Centro Franciscano de Reinserção Social,social_facility
-23.5502535,-46.6342829,Droga Raia,pharmacy
-23.5454902,-46.6337940,Banco Santander,bank
-23.5452440,-46.6346882,Banco do Brasil,bank
-23.5459785,-46.6336427,Banco do Brasil,bank
-23.5489703,-46.6340033,McDonald's,fast_food
-23.5465051,-46.6364146,Banco Bradesco Prime,bank
-23.5455550,-46.6344348,Espaço Cultural BM&F Bovespa,arts_centre
-23.5454691,-46.6372612,Banco do Brasil,bank
-23.5446837,-46.6358620,Bar Guanabara,restaurant
-23.5463947,-46.6333853,Instituto Geográfico e Cartográfico do Estado de São Paulo;Nova Boa Vista,taxi
-23.5466432,-46.6335151,O Bonde,restaurant
-23.5467652,-46.6342513,Bovinu's Fast Grill,restaurant
-23.5487487,-46.6322173,Piero Pasta e Café,restaurant
-23.5454270,-46.6348092,Relógio de Nichile,clock
-23.5489376,-46.6356269,Habib's,fast_food
-23.5447416,-46.6344103,Restaurante Bom Gosto,restaurant
-23.5448093,-46.6344478,Itaú,bank
-23.5451738,-46.6350219,Banco do Brasil,bank
-23.5450762,-46.6344707,Bradesco,bank
-23.5449460,-46.6343980,Bento Salgados,fast_food
-23.5448436,-46.6343792,Viella São Bento,bar
-23.5447634,-46.6343335,Patron Restaurante,restaurant
-23.5449444,-46.6338598,Café Bom Gosto,cafe
-23.5457637,-46.6349851,Caixa Econômica Federal,bank
-23.5462283,-46.6355821,Western Union,money_transfer
-23.5457636,-46.6357624,Badaró Sucos e Lanches,fast_food
-23.5469043,-46.6333068,Correios,post_office
-23.5457769,-46.6334806,Bradesco,bank
-23.5449950,-46.6323756,Burger King,fast_food
-23.5456891,-46.6346619,Salve Jorge,bar
-23.5460402,-46.6350547,Frigideira Grill,restaurant
-23.5462966,-46.6350438,Cafe Bancario,cafe
-23.5492751,-46.6316960,Doce Atração,restaurant
-23.5477587,-46.6352890,Alcachofra,restaurant
-23.5476628,-46.6353636,Casa da Coxinha Vegana,fast_food
-23.5475552,-46.6346871,Centro Cultural Banco do Brasil São Paulo,arts_centre
-23.5482356,-46.6373451,Panda Express Vegano,restaurant
-23.5482054,-46.6373275,Lanches Triângulo,cafe
-23.5482941,-46.6373791,Lanchonete Manga e Laranja,cafe
-23.5485833,-46.6335210,Casa do Pão de Queijo,cafe
-23.5489822,-46.6329629,Flor da Sé,restaurant
-23.5492178,-46.6329928,Caixa Econômica Federal,bank
-23.5497406,-46.6329150,Central da Copa,fast_food
-23.5464778,-46.6353014,Farmácias Pague Menos,pharmacy
-23.5466403,-46.6353934,Ragazzo Express,fast_food
-23.5467283,-46.6354431,Farma Conde,pharmacy
-23.5469275,-46.6355557,Burger King,fast_food
-23.5469679,-46.6355786,Farmácia Super Popular,pharmacy
-23.5468793,-46.6350090,Caixa Econômica Federal,bank
-23.5475920,-46.6348495,Banco do Brasil,bank
-23.5503700,-46.6353199,Ponto de Táxi Quintino,taxi
-23.5500407,-46.6345936,Banco Santander,bank
-23.5486986,-46.6337073,Burger King,fast_food
-23.5488781,-46.6336515,Orange Sucos & Café,cafe
-23.5487595,-46.6344149,Drogaria São Paulo,pharmacy
-23.5484309,-46.6345118,Restaurante e Leiteria Regina,restaurant
-23.5482608,-46.6354693,Caixa Econômica Federal,bank
-23.5477304,-46.6350863,Banco Santander,bank
-23.5493745,-46.6338662,Ragazzo Express,fast_food
-23.5497313,-46.6371597,Igreja São Francisco,place_of_worship
-23.5490821,-46.6380706,Centro Espírita Nosso Lar Casas André Luiz,place_of_worship
-23.5462858,-46.6362913,Bradesco,bank
-23.5470496,-46.6369818,Delboni Auriemo,clinic
-23.5471189,-46.6367118,Ponto de Táxi 1783,taxi
-23.5452405,-46.6356769,Caixa Econômica Federal,bank
-23.5455213,-46.6358327,Itaú,bank
-23.5459287,-46.6360612,Prolongamento,taxi
-23.5474300,-46.6372857,Prefeitura Municipal de São Paulo,townhall
-23.5471213,-46.6341985,Banco Safra,bank
-23.5472005,-46.6341853,Itaú,bank
-23.5474538,-46.6341215,Itaú,bank
-23.5485983,-46.6349650,Itaú,bank
-23.5488286,-46.6347913,Casa de Francisca,nightclub
-23.5489106,-46.6362590,Banco de Brasília,bank
-23.5489575,-46.6351598,Mantelli Farma,pharmacy
-23.5462540,-46.6356705,Lanchonete Miguel Couto,fast_food
-23.5473899,-46.6363489,Banco do Brasil,bank
-23.5473168,-46.6358776,Central Kilo's Grill,restaurant
-23.5471871,-46.6358014,McDonald's,fast_food
-23.5471357,-46.6343394,Banco Santander,bank
-23.5469603,-46.6343618,Bradesco,bank
-23.5453773,-46.6354859,Café Martinelli Midi,cafe
-23.5445218,-46.6341124,Café Girondino,cafe
-23.5463327,-46.6348258,Caffe Latte,cafe
-23.5465250,-46.6341776,Droga Raia,pharmacy
-23.5500267,-46.6334686,Relógio,clock
-23.5456346,-46.6347953,Drogasil,pharmacy
-23.5487794,-46.6341986,Drogasil,pharmacy
-23.5472523,-46.6365289,UBS República,clinic
-23.5496801,-46.6351196,Restaurante Primeiro Mundo,restaurant
-23.5480448,-46.6341356,Banco do Brasil,bank
-23.5477994,-46.6339816,Lanches Eminente,fast_food
-23.5480189,-46.6345072,Banco do Brasil,bank
-23.5479012,-46.6345457,Banco da Amazônia,bank
-23.5478619,-46.6347221,Tomates Verdes Fritos,restaurant
-23.5481927,-46.6346256,Subprefeitura da Sé,townhall
-23.5461522,-46.6333969,Itaú,bank
-23.5491979,-46.6370206,Largo São Francisco,bicycle_rental
-23.5490833,-46.6320426,Grão do Pátio,cafe
-23.5453336,-46.6345894,VirôVirô,restaurant
-23.5474060,-46.6366651,Comida a pessoas carentes e de rua, a noite 8:20,social_facility
-23.5476987,-46.6368960,Comida a pessoas carentes e de rua, a noite 8:00,social_facility
-23.5498381,-46.6341081,Onofre,pharmacy
-23.5499295,-46.6352867,Western Union,money_transfer
-23.5462647,-46.6351026,MARIA MARIA RESTAURANTE,restaurant
-23.5478446,-46.6364854,gustavoajudas,restaurant
-23.5477748,-46.6366120,aaaa,restaurant
-23.5464539,-46.6335791,Bananas,pub
-23.5446978,-46.6332844,McDonald's,fast_food
-23.5449223,-46.6338790,Beneto Restaurante e Lanchonete,fast_food
-23.5463354,-46.6338903,Stock,restaurant
